CropType,CropDays,SoilMoisture,temperature,Humidity,Irrigation
Potato,58,617,24,57,1
Coffee,28,342,16,28,0
Garden Flowers,71,358,15,73,1
Maize,119,586,30,30,1
Groundnuts,6,233,36,25,0
Coffee,31,489,25,16,1
Maize,42,632,29,21,1
Potato,30,291,18,20,0
Wheat,37,319,14,54,1
Wheat,27,277,18,43,0
Coffee,61,606,24,20,1
Garden Flowers,25,339,24,60,0
Sugarcane,123,317,20,33,0
Sugarcane,111,253,34,37,0
Groundnuts,19,564,37,30,1
Groundnuts,107,572,22,34,1
Sugarcane,204,821,35,74,1
Coffee,74,610,16,18,1
Garden Flowers,46,420,26,78,1
Pulse,63,480,36,35,1
Maize,21,368,39,21,0
Potato,68,598,18,54,1
Sugarcane,161,135,37,40,0
Wheat,33,410,30,41,1
Wheat,98,413,31,44,0
Coffee,74,218,31,21,0
Pulse,94,420,23,45,1
Sugarcane,6,496,25,52,1
Pulse,20,743,31,44,1
Groundnuts,108,182,37,53,0
Maize,12,680,20,32,1
Sugarcane,4,195,32,13,0
Potato,34,497,15,57,1
Potato,48,599,15,42,1
Paddy,3,400,33,16,1
Wheat,39,248,24,38,0
Potato,38,370,27,43,0
Sugarcane,148,279,37,24,0
Wheat,15,580,17,30,1
Coffee,36,591,30,17,1
Wheat,72,161,28,39,0
Groundnuts,29,120,32,22,0
Paddy,29,270,33,25,0
Groundnuts,49,468,37,27,1
Sugarcane,149,782,20,62,1
Potato,49,726,25,47,1
Wheat,89,480,23,55,1
Garden Flowers,40,633,19,63,1
Sugarcane,81,768,23,59,1
Paddy,25,413,20,31,0
Groundnuts,108,391,28,23,0
Sugarcane,153,403,20,60,1
Potato,75,290,22,61,1
Sugarcane,172,320,28,14,0
Groundnuts,108,179,19,49,0
Potato,77,373,29,12,0
Potato,3,178,20,68,0
Coffee,44,355,23,16,1
Wheat,34,152,29,33,0
Wheat,37,218,25,50,0
Garden Flowers,139,573,20,74,1
Coffee,50,229,25,23,0
Potato,26,328,29,25,0
Pulse,40,636,36,36,1
Sugarcane,168,222,25,31,0
Sugarcane,5,300,19,80,0
Sugarcane,206,464,23,58,1
Sugarcane,110,477,31,46,1
Garden Flowers,57,236,32,66,0
Groundnuts,63,631,38,35,1
Sugarcane,8,354,31,43,0
Groundnuts,114,688,24,25,1
Sugarcane,104,755,37,71,1
Wheat,8,232,16,25,0
Garden Flowers,83,140,17,83,0
Sugarcane,139,392,22,28,0
Potato,88,356,16,11,0
Garden Flowers,18,595,19,80,1
Maize,31,129,28,34,0
Garden Flowers,27,730,25,69,1
Garden Flowers,141,332,16,78,0
Garden Flowers,16,120,34,68,0
Sugarcane,76,550,29,56,1
Garden Flowers,103,320,15,80,0
Garden Flowers,142,205,29,73,0
Coffee,41,219,25,18,0
Maize,50,334,21,14,0
Potato,3,455,19,29,1
Wheat,79,715,24,42,1
Sugarcane,104,314,28,39,0
Wheat,101,199,26,27,1
Wheat,97,559,17,58,1
Coffee,25,210,24,18,0
Sugarcane,86,842,27,65,1
Paddy,123,255,30,15,0
Coffee,68,261,24,26,0
Potato,74,334,21,47,1
Sugarcane,47,418,20,28,1
Paddy,86,761,27,36,1
Pulse,4,329,16,44,0
Maize,5,476,36,29,1
Maize,100,347,32,19,1
Sugarcane,39,240,16,70,0
Garden Flowers,178,366,33,63,1
Groundnuts,61,369,27,27,0
Wheat,104,373,16,35,0
Groundnuts,81,352,27,36,0
Garden Flowers,25,321,16,82,0
Coffee,46,232,17,17,0
Sugarcane,7,560,18,70,1
Sugarcane,171,625,35,43,1
Wheat,20,715,26,29,1
Garden Flowers,173,480,29,81,1
Groundnuts,67,355,25,34,0
Coffee,81,643,22,15,1
Maize,37,247,29,22,0
Groundnuts,58,792,22,27,1
Coffee,97,398,25,18,0
Paddy,12,535,31,48,1
Maize,81,230,25,19,0
Pulse,17,655,29,33,1
Sugarcane,178,678,31,19,1
Wheat,63,167,30,36,0
Paddy,12,460,33,15,1
Sugarcane,35,550,17,78,1
Wheat,73,748,24,22,1
Coffee,29,517,19,25,1
Coffee,86,361,31,28,1
Potato,11,321,16,66,0
Coffee,43,245,24,26,0
Wheat,16,127,17,50,0
Paddy,146,128,37,24,0
Sugarcane,199,762,21,65,1
Sugarcane,118,630,26,52,1
Sugarcane,152,154,34,45,0
Garden Flowers,34,177,33,72,0
Wheat,40,320,28,52,1
Maize,112,217,25,29,0
Potato,23,301,16,40,0
Potato,90,379,22,66,1
Potato,2,365,21,33,0
Groundnuts,99,191,36,32,0
Sugarcane,81,344,27,29,0
Maize,119,150,29,27,0
Potato,69,677,23,29,1
Coffee,46,609,24,29,1
Wheat,62,793,20,35,1
Maize,56,456,31,34,1
Groundnuts,102,287,33,19,0
Garden Flowers,58,179,17,81,0
Wheat,29,503,17,54,1
Paddy,131,591,21,63,1
Sugarcane,18,541,22,64,1
Groundnuts,22,291,30,39,0
Paddy,18,560,30,25,1
Garden Flowers,108,190,33,77,0
Sugarcane,200,368,24,42,1
Potato,45,334,16,24,1
Pulse,48,852,32,18,1
Sugarcane,16,495,24,60,1
Maize,37,394,34,19,1
Maize,90,475,19,28,1
Maize,88,147,21,29,0
Potato,65,746,16,54,1
Groundnuts,53,469,27,18,0
Groundnuts,22,120,39,27,0
Sugarcane,123,794,28,63,1
Sugarcane,142,374,25,46,0
Sugarcane,141,438,35,42,1
Sugarcane,39,364,34,42,0
Paddy,67,441,32,58,1
Sugarcane,153,120,26,22,0
Groundnuts,93,330,29,54,0
Garden Flowers,18,356,27,80,0
Paddy,16,579,35,37,1
Groundnuts,97,470,35,43,1
Paddy,51,459,25,61,1
Groundnuts,50,789,39,29,1
Pulse,27,192,20,32,0
Garden Flowers,14,533,17,78,1
Sugarcane,138,687,25,43,1
Garden Flowers,172,120,14,75,0
Sugarcane,71,158,33,13,0
Coffee,29,211,27,16,0
Coffee,14,655,19,21,1
Sugarcane,24,130,36,14,0
Groundnuts,79,740,22,20,1
Maize,15,749,20,24,1
Paddy,39,869,36,31,1
Pulse,1,561,26,48,1
Maize,85,235,29,34,0
Sugarcane,129,127,24,42,0
Maize,18,417,39,33,1
Wheat,19,399,20,29,1
Sugarcane,61,890,30,26,1
Sugarcane,160,817,34,72,1
Wheat,109,790,15,28,1
Garden Flowers,60,717,26,83,1
Groundnuts,99,729,39,37,1
Groundnuts,29,321,26,50,0
Wheat,114,384,15,30,0
Wheat,59,220,30,46,0
Sugarcane,110,651,24,30,1
Sugarcane,207,169,34,33,0
Garden Flowers,36,384,15,82,1
Garden Flowers,64,437,29,83,1
Wheat,108,255,24,27,0
Sugarcane,38,334,37,18,0
Wheat,18,745,18,44,1
Coffee,61,256,27,24,0
Paddy,126,186,37,22,0
Groundnuts,92,789,26,16,1
Potato,67,310,27,19,0
Sugarcane,88,269,30,14,0
Wheat,94,619,31,50,1
Groundnuts,45,201,23,19,0
Pulse,77,257,33,42,0
Maize,75,181,35,39,0
Groundnuts,73,293,25,28,0
Garden Flowers,81,695,26,66,1
Sugarcane,202,245,30,48,0
Sugarcane,36,632,33,42,1
Groundnuts,80,250,22,34,0
Maize,46,377,35,31,0
Garden Flowers,23,135,18,67,0
Groundnuts,104,553,34,39,1
Sugarcane,205,397,30,47,0
Coffee,13,220,26,15,0
Groundnuts,22,244,34,35,0
Paddy,124,318,21,21,0
Sugarcane,66,459,19,65,1
Maize,71,553,30,28,1
Sugarcane,160,853,25,59,1
Paddy,60,798,23,31,1
Sugarcane,158,339,26,45,0
Sugarcane,191,336,23,27,0
Coffee,29,506,30,22,1
Wheat,26,439,15,16,0
Sugarcane,35,697,36,27,1
Maize,103,430,38,23,0
Sugarcane,208,755,25,32,1
Paddy,82,263,23,22,0
Groundnuts,30,563,38,36,1
Groundnuts,63,166,38,44,0
Potato,64,708,25,31,1
Wheat,8,399,29,49,1
Wheat,59,266,20,51,0
Coffee,37,185,31,21,0
Garden Flowers,39,125,34,68,0
Sugarcane,181,288,25,47,0
Sugarcane,56,312,34,30,0
Coffee,24,310,27,26,0
Sugarcane,77,484,23,43,1
Maize,99,291,36,30,0
Potato,50,286,17,34,0
Paddy,148,517,28,53,1
Groundnuts,34,419,23,42,1
Sugarcane,108,258,34,37,0
Coffee,82,412,24,23,1
Groundnuts,112,505,20,17,1
Potato,4,648,22,64,1
Sugarcane,13,847,33,54,1
Paddy,27,495,40,12,1
Sugarcane,124,132,37,47,0
Paddy,122,390,28,31,1
Sugarcane,8,148,27,17,0
Coffee,24,235,23,23,0
Coffee,41,678,21,21,1
Garden Flowers,91,279,19,76,0
Sugarcane,112,713,34,47,1
Paddy,56,230,32,14,0
Garden Flowers,30,761,22,84,1
Paddy,89,750,22,58,1
Wheat,42,465,31,64,1
Sugarcane,60,634,32,31,1
Maize,39,743,35,19,1
Potato,4,310,21,19,0
Pulse,58,288,29,36,0
Maize,86,421,20,23,1
Potato,20,740,15,69,1
Coffee,43,199,15,16,0
Sugarcane,143,160,26,12,0
Groundnuts,19,526,29,19,1
Wheat,24,311,16,45,0
Wheat,1,415,21,21,0
Wheat,66,700,25,17,1
Coffee,38,469,28,20,1
Sugarcane,23,677,27,50,1
Groundnuts,89,346,21,50,1
Paddy,36,600,32,15,1
Sugarcane,190,335,34,37,0
Sugarcane,123,162,29,35,0
Maize,15,646,37,31,1
Groundnuts,37,372,29,49,0
Paddy,79,250,25,45,0
Sugarcane,144,801,27,38,1
Wheat,82,311,25,32,1
Groundnuts,78,277,30,39,1
Coffee,56,535,27,28,1
Maize,60,140,34,29,0
Garden Flowers,36,287,29,83,0
Pulse,27,495,30,35,1
Potato,3,389,21,31,1
Wheat,8,778,30,42,1
Potato,17,585,21,30,1
Coffee,61,329,20,19,0
Maize,102,425,31,32,1
Potato,6,510,18,51,1
Sugarcane,95,727,30,28,1
Wheat,37,615,29,32,1
Garden Flowers,77,518,18,82,1
Maize,34,425,34,27,0
Coffee,13,128,25,24,0
Groundnuts,17,427,36,25,1
Potato,49,171,15,39,0
Paddy,34,422,29,49,1
Potato,95,343,28,42,1
Coffee,39,534,25,29,1
Coffee,42,134,15,24,0
Garden Flowers,113,287,14,84,0
Maize,68,752,22,31,1
Sugarcane,90,439,32,30,1
Sugarcane,163,167,28,18,0
Wheat,11,355,30,23,0
Pulse,45,569,30,19,1
Coffee,51,256,27,21,0
Potato,42,217,14,41,0
Sugarcane,203,375,30,35,0
Garden Flowers,72,609,15,75,1
Sugarcane,18,615,22,47,1
Wheat,41,786,17,32,1
Maize,25,288,30,30,0
Wheat,113,407,15,38,0
Sugarcane,87,774,28,34,1
Sugarcane,202,389,17,28,0
Wheat,75,136,23,42,0
Maize,46,488,25,32,1
Sugarcane,42,425,32,28,1
Potato,94,488,28,23,1
Sugarcane,12,504,26,33,1
Garden Flowers,93,137,26,83,0
Potato,38,194,27,12,0
Potato,12,121,21,21,0
Sugarcane,11,286,18,68,0
Sugarcane,88,313,27,25,0
Wheat,45,498,28,31,0
Sugarcane,92,879,21,46,1
Groundnuts,76,186,32,33,0
Coffee,35,699,29,25,1
Groundnuts,15,364,20,51,0
Paddy,145,531,32,35,1
Wheat,99,720,28,19,1
Maize,4,822,19,21,1
Paddy,14,543,23,34,1
Groundnuts,24,192,26,51,0
Garden Flowers,158,683,33,73,1
Maize,43,258,37,28,0
Paddy,6,333,33,13,0
Garden Flowers,169,364,31,71,1
Potato,55,486,25,16,0
Potato,69,342,22,41,0
Sugarcane,34,599,29,33,1
Wheat,97,235,14,13,0
Wheat,114,168,20,27,0
Potato,42,228,23,41,0
Sugarcane,152,456,30,25,0
Sugarcane,84,419,21,39,0
Wheat,61,141,19,11,0
Wheat,145,667,24,34,0
Potato,48,140,19,40,0
Groundnuts,111,330,39,43,0
Potato,11,262,29,13,0
Sugarcane,109,170,29,45,0
Wheat,27,264,22,43,0
Pulse,21,304,24,29,0
Maize,114,297,31,25,0
Wheat,48,141,27,40,0
Sugarcane,65,540,29,66,1
Paddy,115,389,30,52,1
Garden Flowers,157,501,27,83,1
Potato,1,416,17,64,1
Sugarcane,19,292,23,40,0
Potato,21,444,15,56,1
Maize,100,776,24,23,1
Garden Flowers,79,215,23,80,0
Maize,111,253,38,26,0
Pulse,24,467,29,42,1
Paddy,17,407,28,16,0
Coffee,51,494,15,22,1
Sugarcane,188,239,27,20,0
Wheat,39,393,17,35,0
Sugarcane,57,237,23,43,0
Wheat,35,334,30,36,0
Coffee,9,237,30,14,0
Wheat,27,148,28,32,0
Maize,29,250,26,22,0
Paddy,26,240,33,36,0
Paddy,116,212,29,38,0
Potato,15,336,25,24,0
Potato,8,198,16,23,0
Wheat,34,230,21,50,0
Wheat,17,204,27,19,0
Maize,113,614,29,28,1
Paddy,4,209,24,38,0
Potato,19,329,18,40,0
Coffee,65,211,24,16,0
Maize,82,335,29,29,0
Garden Flowers,50,652,18,67,1
Sugarcane,84,474,26,48,1
Coffee,76,334,25,27,1
Garden Flowers,113,206,34,82,0
Garden Flowers,131,266,21,65,0
Wheat,76,464,30,63,1
Sugarcane,58,149,24,35,0
Sugarcane,62,205,37,24,0
Potato,44,416,17,53,1
Wheat,44,405,24,38,0
Coffee,66,533,30,21,1
Wheat,85,690,22,18,1
Wheat,20,669,27,21,1
Potato,98,340,16,33,0
Sugarcane,20,276,23,17,0
Wheat,116,284,27,41,0
Coffee,35,501,19,21,1
Coffee,22,236,25,16,0
Groundnuts,118,374,19,17,0
Coffee,85,164,23,26,0
Paddy,74,399,37,27,0
Coffee,32,447,24,27,1
Potato,97,519,22,31,1
Groundnuts,36,180,25,31,0
Garden Flowers,100,357,26,60,0
Potato,26,744,18,42,1
Maize,86,333,39,23,0
Coffee,84,376,15,19,1
Potato,29,271,23,27,0
Maize,109,777,34,18,1
Potato,2,251,18,44,0
Coffee,41,485,16,26,1
Sugarcane,48,303,31,21,0
Coffee,27,544,29,22,1
Garden Flowers,26,859,26,60,1
Paddy,37,401,28,38,0
Potato,52,367,16,61,0
Maize,61,139,30,42,0
Sugarcane,106,513,35,48,0
Potato,61,214,14,34,0
Wheat,2,359,29,48,1
Maize,67,130,35,26,0
Potato,87,206,14,23,0
Maize,76,525,31,23,1
Paddy,40,702,37,38,1
Sugarcane,96,738,23,70,1
Sugarcane,3,220,21,70,0
Maize,108,284,18,26,0
Wheat,115,230,29,41,0
Maize,20,199,24,18,0
Potato,45,335,22,11,0
Wheat,118,443,14,30,0
Potato,84,220,26,28,0
Garden Flowers,177,226,20,81,0
Potato,56,738,29,42,1
Sugarcane,156,324,34,33,0
Paddy,98,478,36,28,1
Sugarcane,129,788,27,61,1
Groundnuts,109,615,35,43,1
Potato,27,428,20,29,1
Groundnuts,95,304,32,32,0
Sugarcane,150,334,27,50,1
Wheat,91,760,26,52,1
Maize,42,711,30,18,1
Garden Flowers,34,465,21,65,1
Wheat,59,603,22,32,1
Potato,102,250,18,64,0
Coffee,86,247,28,16,0
Wheat,34,206,31,17,0
Pulse,10,553,20,40,1
Paddy,111,700,30,24,1
Paddy,15,411,36,15,0
Potato,18,230,15,39,0
Paddy,23,254,31,18,0
Garden Flowers,145,630,23,75,1
Wheat,117,127,17,36,0
Sugarcane,116,356,25,52,0
Paddy,124,149,27,12,0
Potato,98,125,29,34,0
Sugarcane,192,607,31,66,1
Sugarcane,93,496,22,32,1
Paddy,140,669,26,30,1
Coffee,95,210,23,17,0
Potato,27,357,27,21,1
Pulse,32,532,30,26,1
Coffee,38,145,23,24,0
Groundnuts,6,394,38,22,0
Wheat,38,627,18,45,1
Sugarcane,131,839,24,46,1
Coffee,15,253,23,18,0
Coffee,64,318,18,15,0
Potato,64,659,14,68,1
Garden Flowers,60,150,34,76,0
Maize,60,377,19,38,0
Wheat,4,437,22,13,0
Sugarcane,8,344,27,32,0
Sugarcane,72,126,33,13,0
Coffee,80,533,26,23,1
Paddy,93,139,25,30,0
Paddy,22,300,37,21,0
Paddy,16,324,32,20,0
Groundnuts,13,659,26,40,1
Groundnuts,38,306,18,18,0
Wheat,2,359,18,38,1
Wheat,79,636,26,38,1
Wheat,117,653,17,21,1
Groundnuts,21,535,33,27,1
Groundnuts,55,407,32,16,1
Potato,97,222,20,37,0
Paddy,92,354,30,27,0
Paddy,128,141,30,23,0
Potato,38,167,19,67,0
Coffee,24,283,23,23,0
Groundnuts,110,254,30,20,0
Wheat,46,260,21,52,0
Coffee,33,120,26,19,0
Wheat,98,770,21,41,1
Garden Flowers,80,814,19,66,1
Maize,17,456,30,24,1
Sugarcane,23,194,35,42,0
Sugarcane,194,368,23,28,0
Maize,109,379,24,25,1
Garden Flowers,111,213,32,74,0
Wheat,11,408,22,36,1
Potato,60,628,29,34,1
Maize,93,722,33,23,1
Groundnuts,85,451,36,16,1
Garden Flowers,44,275,15,64,0
Sugarcane,64,666,26,48,1
Sugarcane,203,237,32,43,0
Potato,70,477,18,69,1
Wheat,23,150,22,30,0
Coffee,87,632,24,18,1
Sugarcane,209,298,33,37,0
Sugarcane,115,488,36,45,1
Coffee,62,590,27,17,1
Potato,78,128,24,22,0
Paddy,128,666,28,29,1
Paddy,26,748,30,48,1
Groundnuts,54,393,38,44,0
Wheat,80,366,15,38,0
Groundnuts,104,615,32,43,1
Wheat,97,408,17,32,0
Paddy,139,310,31,22,0
Sugarcane,44,750,28,71,1
Coffee,72,326,18,15,0
Potato,95,619,23,34,1
Sugarcane,60,262,23,31,0
Garden Flowers,107,137,32,65,0
Sugarcane,25,330,18,70,0
Garden Flowers,134,185,19,80,0
Maize,54,141,31,16,0
Coffee,44,327,28,26,0
Sugarcane,131,488,33,54,1
Potato,86,333,19,44,0
Sugarcane,99,881,33,27,1
Paddy,58,225,31,20,0
Paddy,76,880,25,39,1
Pulse,38,321,27,29,0
Sugarcane,64,129,33,49,0
Potato,12,123,23,23,0
Wheat,89,360,24,59,1
Garden Flowers,24,237,15,66,0
Potato,71,351,14,31,0
Groundnuts,70,450,24,18,0
Sugarcane,159,594,22,30,1
Sugarcane,19,803,30,64,1
Sugarcane,13,359,22,29,0
Sugarcane,39,414,33,37,0
Paddy,34,736,36,59,1
Sugarcane,116,228,27,29,0
Sugarcane,80,366,27,23,0
Groundnuts,15,167,24,40,0
Coffee,9,352,27,28,1
Sugarcane,183,536,27,37,1
Potato,82,169,19,24,0
Wheat,26,292,25,15,0
Sugarcane,161,223,25,25,0
Garden Flowers,1,400,24,70,1
Sugarcane,64,699,33,35,1
Groundnuts,17,664,18,20,1
Potato,67,308,26,37,1
Wheat,18,301,30,32,1
Coffee,74,173,29,28,0
Sugarcane,7,394,34,72,1
Potato,72,578,20,61,1
Sugarcane,70,239,17,80,0
Garden Flowers,60,675,19,75,1
Sugarcane,130,384,36,33,1
Sugarcane,167,520,32,47,1
Sugarcane,15,836,31,42,1
Coffee,18,162,30,14,0
Sugarcane,156,189,28,35,0
Coffee,89,210,21,16,0
Sugarcane,163,218,36,49,0
Coffee,35,492,22,26,1
Pulse,13,424,27,53,1
Sugarcane,206,136,37,39,0
Groundnuts,119,125,38,30,0
Pulse,24,120,35,19,0
Groundnuts,31,166,23,22,0
Groundnuts,15,346,27,29,0
Sugarcane,132,335,25,43,0
Garden Flowers,54,328,29,72,0
Potato,17,667,24,46,1
Potato,9,128,17,68,0
Coffee,79,369,21,17,0
Maize,109,137,20,27,0
Sugarcane,10,333,36,14,0
Wheat,15,276,21,15,0
Potato,6,612,14,26,1
Coffee,68,120,18,28,0
Pulse,69,235,19,21,0
Paddy,111,710,24,60,1
Groundnuts,30,217,27,25,0
Coffee,21,556,15,18,1
Sugarcane,14,273,25,33,0
Groundnuts,82,201,27,16,0
Sugarcane,88,120,29,45,0
Garden Flowers,90,735,31,68,1
Potato,20,189,19,65,0
Paddy,28,621,27,34,1
Sugarcane,116,555,30,56,1
Groundnuts,28,383,18,30,1
Sugarcane,81,342,27,35,0
Potato,86,270,21,29,0
Maize,100,812,21,31,1
Paddy,139,131,29,35,0
Wheat,60,297,18,51,0
Garden Flowers,116,120,20,81,0
Garden Flowers,72,210,18,70,0
Paddy,142,810,29,49,1
Potato,66,149,18,65,0
Coffee,30,658,25,25,1
Garden Flowers,39,359,26,73,0
Potato,5,573,19,56,1
Pulse,87,589,21,37,1
Groundnuts,69,298,29,35,0
Sugarcane,144,374,28,25,1
Maize,53,784,39,22,1
Wheat,118,167,21,11,0
Coffee,13,258,27,23,0
Garden Flowers,30,576,21,65,1
Garden Flowers,24,584,25,69,1
Sugarcane,19,544,29,64,1
Groundnuts,9,746,19,31,1
Potato,40,622,22,64,1
Groundnuts,115,389,37,52,1
Maize,96,155,32,30,0
Wheat,58,545,25,22,1
Potato,23,300,18,19,0
Paddy,98,330,29,34,1
Wheat,101,172,18,20,0
Sugarcane,137,166,34,28,0
Coffee,23,167,27,21,0
Potato,30,230,18,65,0
Sugarcane,94,649,30,39,1
Groundnuts,75,374,26,42,0
Potato,58,136,16,68,0
Potato,34,366,21,50,1
Sugarcane,132,778,32,26,1
Sugarcane,208,643,31,61,1
Coffee,10,320,24,24,1
Paddy,125,716,27,52,1
Potato,21,391,28,35,1
Wheat,117,850,25,32,1
Groundnuts,91,331,32,29,0
Wheat,28,597,21,35,1
Paddy,110,326,31,59,1
Garden Flowers,47,375,22,72,1
Paddy,20,618,33,53,1
Maize,17,448,24,26,1
Paddy,16,149,29,27,0
Wheat,100,414,16,32,0
Potato,56,298,19,30,0
Pulse,32,600,35,29,1
Sugarcane,151,648,32,52,1
Paddy,62,842,26,34,1
Potato,10,190,23,44,0
Sugarcane,94,373,32,16,0
Wheat,93,478,25,37,1
Paddy,35,299,25,21,0
Sugarcane,52,139,18,70,0
Potato,33,197,21,44,0
Coffee,10,481,23,23,1
Groundnuts,100,344,36,19,0
Wheat,96,391,26,50,1
Sugarcane,192,393,26,52,1
Coffee,18,487,30,29,1
Wheat,32,565,29,26,1
Groundnuts,43,650,24,18,1
Sugarcane,171,878,23,25,1
Groundnuts,44,761,31,22,1
Wheat,8,797,14,27,1
Wheat,3,372,21,52,1
Potato,69,457,25,23,1
Sugarcane,25,879,32,67,1
Wheat,42,164,19,38,0
Sugarcane,2,184,29,25,0
Paddy,15,846,25,22,1
Wheat,85,185,24,49,0
Sugarcane,63,483,33,15,0
Maize,30,500,25,19,1
Paddy,112,651,27,47,1
Potato,44,206,22,21,0
Potato,32,327,26,20,1
Wheat,88,789,27,25,1
Sugarcane,119,748,30,71,1
Potato,11,563,14,26,1
Maize,42,583,28,23,1
Sugarcane,173,847,30,71,1
Potato,3,345,20,30,1
Maize,40,445,25,26,1
Sugarcane,63,853,33,27,1
Coffee,61,365,24,15,1
Wheat,17,446,26,14,0
Groundnuts,49,597,24,33,1
Potato,51,598,15,43,1
Garden Flowers,62,213,16,82,0
Potato,91,723,26,42,1
Maize,116,368,26,38,0
Groundnuts,50,441,23,54,1
Coffee,27,369,16,27,1
Wheat,41,153,30,47,0
Groundnuts,118,133,22,54,0
Paddy,105,717,22,29,1
Pulse,13,425,31,19,1
Wheat,28,700,37,32,1
Garden Flowers,172,736,33,73,1
Garden Flowers,80,589,21,68,1
Wheat,78,311,23,39,1
Paddy,127,199,26,26,0
Wheat,69,474,30,54,1
Paddy,5,215,27,29,0
Sugarcane,111,272,24,48,0
Groundnuts,9,184,20,40,0
Sugarcane,200,267,20,26,0
Pulse,74,283,33,20,0
Wheat,87,776,31,50,1
Wheat,32,460,29,31,1
Pulse,67,652,27,46,1
Coffee,11,494,29,15,1
Potato,78,657,19,64,1
Sugarcane,57,788,29,58,1
Wheat,33,235,24,18,0
Coffee,12,142,19,24,0
Coffee,3,550,25,21,1
Groundnuts,22,696,29,24,1
Potato,70,430,19,65,0
Potato,32,330,17,66,0
Wheat,72,142,28,36,0
Potato,74,159,17,65,0
Garden Flowers,9,725,27,70,1
Paddy,52,467,38,21,1
Wheat,80,497,21,44,1
Potato,65,253,20,33,0
Paddy,117,296,24,32,0
Potato,27,366,16,36,0
Sugarcane,156,390,23,39,0
Potato,27,193,27,42,0
Paddy,77,270,33,11,0
Wheat,60,601,17,45,1
Coffee,25,131,25,22,0
Groundnuts,17,389,21,37,0
Pulse,83,315,21,36,0
Potato,85,497,14,23,1
Garden Flowers,40,321,15,71,0
Sugarcane,169,336,37,20,0
Wheat,16,230,28,71,0
Wheat,33,468,29,32,1
Wheat,84,561,18,22,1
Garden Flowers,54,757,32,76,1
Wheat,100,453,29,25,0
Groundnuts,89,659,23,37,1
Sugarcane,122,367,26,48,0
Coffee,47,303,15,16,0
Sugarcane,75,531,25,72,1
Sugarcane,31,821,33,69,1
Groundnuts,96,208,24,22,0
Potato,60,368,16,40,1
Garden Flowers,55,718,27,67,1
Coffee,45,534,20,15,1
Paddy,119,158,39,15,0
Sugarcane,68,139,18,85,0
Paddy,17,773,22,39,1
Groundnuts,54,297,26,53,0
Garden Flowers,66,185,24,72,0
Potato,72,609,28,53,1
Paddy,43,544,36,58,1
Coffee,38,233,29,23,0
Garden Flowers,23,672,34,76,1
Sugarcane,13,578,36,52,1
Wheat,48,254,16,27,0
Maize,19,291,18,30,0
Paddy,4,150,32,16,0
Sugarcane,134,537,33,55,1
Sugarcane,152,396,30,28,0
Garden Flowers,72,367,34,75,1
Wheat,11,123,17,45,0
Paddy,46,374,29,27,0
Potato,88,657,18,65,1
Sugarcane,62,718,25,71,1
Sugarcane,158,279,26,36,0
Potato,66,373,28,49,1
Groundnuts,55,689,26,19,1
Potato,29,379,17,39,1
Garden Flowers,40,540,21,60,1
Groundnuts,88,202,26,15,0
Groundnuts,18,576,39,24,1
Maize,76,745,33,29,1
Sugarcane,15,343,33,15,0
Garden Flowers,115,378,23,71,1
Garden Flowers,52,479,32,75,1
Potato,3,415,26,30,1
Potato,58,151,28,28,0
Groundnuts,76,210,27,16,0
Coffee,32,120,20,25,0
Potato,72,367,19,31,0
Coffee,77,507,20,24,1
Maize,46,523,26,30,1
Pulse,94,204,27,45,0
Coffee,24,320,27,15,0
Maize,101,777,33,31,1
Wheat,10,380,23,54,0
Groundnuts,44,257,32,43,0
Paddy,26,162,38,28,0
Sugarcane,134,315,37,19,0
Pulse,22,193,30,40,0
Wheat,58,233,26,21,0
Paddy,19,338,25,13,0
Maize,86,291,37,38,0
Maize,105,476,34,24,1
Wheat,68,576,26,41,1
Coffee,73,699,30,16,1
Paddy,70,269,25,36,0
Sugarcane,146,664,34,33,1
Coffee,54,120,30,20,0
Potato,20,190,22,24,0
Maize,88,440,33,20,1
Wheat,14,656,15,30,1
Coffee,61,399,16,23,1
Sugarcane,136,520,28,63,1
Paddy,45,831,28,60,1
Wheat,22,773,31,33,1
Garden Flowers,85,120,16,68,0
Paddy,64,377,21,34,0
Paddy,98,256,22,28,0
Sugarcane,122,583,34,28,1
Groundnuts,71,197,19,22,0
Maize,84,636,30,19,1
Sugarcane,58,786,34,25,1
Paddy,138,405,22,15,0
Maize,26,337,31,37,0
Sugarcane,208,474,29,43,1
Potato,5,319,18,65,0
Wheat,140,400,23,27,0
Wheat,82,126,23,17,0
Potato,9,248,23,32,0
Sugarcane,174,272,32,33,0
Sugarcane,92,450,22,65,1
Wheat,1,444,26,14,0
Maize,29,490,35,22,1
Garden Flowers,85,494,32,82,1
Coffee,4,158,15,14,0
Coffee,101,201,21,14,0
Coffee,50,313,30,20,1
Groundnuts,38,171,32,37,0
Pulse,39,649,22,21,1
Maize,37,322,20,42,0
Coffee,33,157,27,24,0
Paddy,34,203,23,20,0
Potato,32,654,28,34,1
Sugarcane,96,167,25,46,0
Groundnuts,88,147,31,17,0
Paddy,9,518,39,54,1
Maize,70,560,36,20,1
Wheat,57,406,19,37,0
Sugarcane,117,254,23,19,0
Wheat,52,215,17,40,0
Pulse,30,601,27,43,1
Garden Flowers,25,470,18,65,1
Wheat,10,771,23,27,1
Sugarcane,58,540,20,65,1
